ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
8408023160,El Oraculo De Cristal,Judith Merkle Riley,1998,Planeta Pub Corp,http://images.amazon.com/images/P/8408023160.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/8408023160.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/8408023160.01.LZZZZZZZ.jpg
0743411935,The Book of Fred : A Novel,Abby Bardi,2001,Washington Square Press,http://images.amazon.com/images/P/0743411935.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743411935.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743411935.01.LZZZZZZZ.jpg
0425157938,Getting over Getting Older: An Intimate Journey,Letty Cottin Pogrebin,1997,Berkley Publishing Group,http://images.amazon.com/images/P/0425157938.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425157938.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425157938.01.LZZZZZZZ.jpg
0066209595,Heart of a Warrior,Johanna Lindsey,2001,HarperLargePrint,http://images.amazon.com/images/P/0066209595.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0066209595.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0066209595.01.LZZZZZZZ.jpg
3784472907,Die Macht der Konzentration.,Elfrida MÃ?Â¼ller-Kainz,1992,Langen/MÃ?Â¼ller,http://images.amazon.com/images/P/3784472907.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3784472907.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3784472907.01.LZZZZZZZ.jpg
0789414228,P.B. Bear Board Book: Shapes,Lee Davis,2001,DK Publishing Inc,http://images.amazon.com/images/P/0789414228.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0789414228.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0789414228.01.LZZZZZZZ.jpg
0746030738,Viking Raiders (Time Traveler Series),Anne Civardi,1998,E.D.C. Publishing,http://images.amazon.com/images/P/0746030738.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0746030738.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0746030738.01.LZZZZZZZ.jpg
0394512006,Rh Dict-Concise,Stuart Berg Flexner,1980,Random House Reference Publishing,http://images.amazon.com/images/P/0394512006.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0394512006.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0394512006.01.LZZZZZZZ.jpg
0668061952,An Illustrated Guide to Flowering Houseplants,William Fl. Davidson,1984,Petersons,http://images.amazon.com/images/P/0668061952.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0668061952.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0668061952.01.LZZZZZZZ.jpg
0373201923,Father Knows Best (By Request 3'S) (By Request 3's),Judith Arnold,2001,Harlequin,http://images.amazon.com/images/P/0373201923.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373201923.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373201923.01.LZZZZZZZ.jpg
0920633153,The beekeeper's daughter,Bruce Hunter,0,Thistledown Press,http://images.amazon.com/images/P/0920633153.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0920633153.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0920633153.01.LZZZZZZZ.jpg
0553493647,"The Drowning Ghost (The Blair Witch Files, Case File 3)",Cade Merrill,2000,Bantam Doubleday Dell Books for Young Readers,http://images.amazon.com/images/P/0553493647.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553493647.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553493647.01.LZZZZZZZ.jpg
0590226533,"The Winter of Red Snow: The Revolutionary War Diary of Abigail Jane Stewart, Valley Forge, Pennsylvania, 1777 (Dear America)",Kristiana Gregory,1996,Scholastic,http://images.amazon.com/images/P/0590226533.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0590226533.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0590226533.01.LZZZZZZZ.jpg
071484103X,Gandhi: A Photo Biography,Peter RÃ¼he,2001,Phaidon Press,http://images.amazon.com/images/P/071484103X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/071484103X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/071484103X.01.LZZZZZZZ.jpg
0694008397,A Child's Good Night Book Board Book,Margaret Wise Brown,1996,HarperFestival,http://images.amazon.com/images/P/0694008397.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0694008397.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0694008397.01.LZZZZZZZ.jpg
028103561X,A priest's psychic diary,Jack Dover Wellman,1977,SPCK,http://images.amazon.com/images/P/028103561X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/028103561X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/028103561X.01.LZZZZZZZ.jpg
0140319654,Unreal! (Puffin Story Books),Paul Jennings,1986,Puffin Books,http://images.amazon.com/images/P/0140319654.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140319654.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140319654.01.LZZZZZZZ.jpg
0446519774,Masque,F. Paul Wilson,1998,Warner Books Inc,http://images.amazon.com/images/P/0446519774.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446519774.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446519774.01.LZZZZZZZ.jpg
0373750137,"When Megan Smiles (Harlequin American Romance, 1009)",Mary Anne Wilson,2004,Harlequin,http://images.amazon.com/images/P/0373750137.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373750137.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373750137.01.LZZZZZZZ.jpg
9074336086,Transit,Hella S Haasse,1994,Querido,http://images.amazon.com/images/P/9074336086.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/9074336086.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/9074336086.01.LZZZZZZZ.jpg
